"t";"x";"y";"x-real";"y-real";"x-error";"y-error"
"0,0";"0,0";"1,0";"-0,0";"1,0";"0,0";"0,0"
"0,001";"-0,0010005020009999984";"1,0010010023353757";"-0,001000000166666693";"1,0010004998333752";"-5,018343333053257E-7";"5,025020004545411E-7"
"0,002";"-0,0020020050063374187";"1,0020020056736734";"-0,0020000013333336193";"1,0020019986673336";"-2,0036730037993784E-6";"7,006339730608602E-9"
"0,003";"-0,0030045090170173535";"1,003003010016397";"-0,003000004500002054";"1,003004495503377";"-4,504517015299289E-6";"-1,4854869800906556E-6"
"0,004";"-0,0040080140340469006";"1,004004015366052";"-0,004000010666675224";"1,0040079893440086";"-8,003367371676832E-6";"-3,9739779564840205E-6"
"0,005";"-0,005012520058436167";"1,0050050217261477";"-0,005000020833359321";"1,0050124791927344";"-1,2499225076846067E-5";"-7,4574665867022105E-6"
"0,006";"-0,006018027091199271";"1,0060060291011965";"-0,006000036000064826";"1,006017964054065";"-1,7991091134444796E-5";"-1,193495286844204E-5"
"0,007";"-0,007024535133355349";"1,0070070374967162";"-0,007000057166806685";"1,0070244429335153";"-2,4477966548663334E-5";"-1,7405436799178275E-5"
"0,008";"-0,008032044185929559";"1,0080080469192307";"-0,008000085333606445";"1,008031914837607";"-3,195885232311346E-5";"-2,3867918376163644E-5"
"0,009";"-0,009040554249954086";"1,009009057376271";"-0,009000121500492043";"1,009040378773868";"-4,043274946204274E-5";"-3,132139759709496E-5"
"0,01";"-0,010050065326469156";"1,0100100688763753";"-0,010000166667499985";"1,0100498337508346";"-4,9898658969170506E-5";"-3,976487445922494E-5"
"0,011";"-0,011060577416524034";"1,011011081429092";"-0,011000221834675401";"1,0110602787780527";"-6,0355581848633294E-5";"-4,91973489606945E-5"
"0,012";"-0,012072090521178042";"1,012012095044979";"-0,012000288002073603";"1,0120717128660779";"-7,180251910443927E-5";"-5,9617821098978396E-5"
"0,013";"-0,013084604641501569";"1,0130131097356048";"-0,01300036616976075";"1,0130841350264757";"-8,423847174081865E-5";"-7,102529087088527E-5"
"0,014";"-0,014098119778577075";"1,0140141255135504";"-0,014000457337815218";"1,0140975442718256";"-9,766244076185766E-5";"-8,341875827522216E-5"
"0,015";"-0,015112635933500115";"1,0150151423924096";"-0,015000562506328198";"1,0151119396157189";"-1,1207342717191662E-4";"-9,679722330924179E-5"
"0,016";"-0,01612815310738034";"1,0160161603867905";"-0,016000682675404804";"1,0161273200727614";"-1,2747043197553626E-4";"-1,1115968597086301E-4"
